numb1120	v	year	y	snk	sntp	bk	btp	snbas	Ksn	bbas	Kh
1580	0	2024	0	1.2709221320375	0	810.069517121631	0	0	0	0	0
1588	0	2024	0	1.63729849780698	0.969997329204293	260.602056770369	260.602056770369	0	0	0	0
1594	0	2024	4500	0.809504135180409	0.979033613626027	490.146576561627	380.862767314197	0	0	0	0
1595	0	2024	0	8.07014328668296	0.91929856713317	278.435190630745	278.435190630745	0	0	0	0
1684	0	2024	363.280328914681	5.70673593638751	0.834716628719851	350.067126728351	238.683155600453	0	0	0	0
1751	0	2024	1333.59829898831	4.13888119505972	0.939725392841332	253.019419008867	173.850184347701	0	0	0	0
1840	0	2024	388.918971862685	3.24097656411651	0.901774202322265	357.841127771262	263.72633336377	0	0	0	0
1962	0	2025	1300	3.5	0.9	220	190	0	0	0	0
2072	0	2024	0	5	0	460	0	0	0	0	0
3087	0	2024	87.316606920793	1.27393565350046	0.872606465491921	237.165448935617	237.165448935617	0	0	0	0
3089	0	2024	0	2.02951808921914	0	186.1303833982	0	0	0	0	0
3132	0	2024	0	9.74428000940319	0	469.779977539631	0	0	0	0	0
3155	0	2024	0	2.9837556660248	0.94786049625298	225.155193676709	225.155193676709	0	0	0	0
3170	0	2024	0	6.29782316989275	0	387.324010687688	0	0	0	0	0
